product,date,region,sales
pink morsel,2018-02-06,north,1638
pink morsel,2018-02-06,south,1647
pink morsel,2018-02-06,east,1731
pink morsel,2018-02-06,west,1557
gold morsel,2018-02-06,north,1587
gold morsel,2018-02-06,south,1698
gold morsel,2018-02-06,east,1542
gold morsel,2018-02-06,west,1635
magenta morsel,2018-02-06,north,1602
magenta morsel,2018-02-06,south,1536
magenta morsel,2018-02-06,east,1503
magenta morsel,2018-02-06,west,1701
chartreuse morsel,2018-02-06,north,1758
chartreuse morsel,2018-02-06,south,1662
chartreuse morsel,2018-02-06,east,1782
chartreuse morsel,2018-02-06,west,1515
periwinkle morsel,2018-02-06,north,1662
periwinkle morsel,2018-02-06,south,1557
periwinkle morsel,2018-02-06,east,1650
periwinkle morsel,2018-02-06,west,1674
vermilion morsel,2018-02-06,north,1554
vermilion morsel,2018-02-06,south,1587
vermilion morsel,2018-02-06,east,1563
vermilion morsel,2018-02-06,west,1764
lapis morsel,2018-02-06,north,1758
lapis morsel,2018-02-06,south,1608
lapis morsel,2018-02-06,east,1569
lapis morsel,2018-02-06,west,1653
pink morsel,2018-02-07,north,1572
pink morsel,2018-02-07,south,1716
pink morsel,2018-02-07,east,1773
pink morsel,2018-02-07,west,1725
gold morsel,2018-02-07,north,1767
gold morsel,2018-02-07,south,1710
gold morsel,2018-02-07,east,1698
gold morsel,2018-02-07,west,1512
magenta morsel,2018-02-07,north,1746
magenta morsel,2018-02-07,south,1734
magenta morsel,2018-02-07,east,1524
magenta morsel,2018-02-07,west,1614
chartreuse morsel,2018-02-07,north,1578
chartreuse morsel,2018-02-07,south,1782
chartreuse morsel,2018-02-07,east,1527
chartreuse morsel,2018-02-07,west,1752
periwinkle morsel,2018-02-07,north,1785
periwinkle morsel,2018-02-07,south,1689
periwinkle morsel,2018-02-07,east,1641
periwinkle morsel,2018-02-07,west,1575
vermilion morsel,2018-02-07,north,1644
vermilion morsel,2018-02-07,south,1674
vermilion morsel,2018-02-07,east,1551
vermilion morsel,2018-02-07,west,1737
lapis morsel,2018-02-07,north,1563
lapis morsel,2018-02-07,south,1647
lapis morsel,2018-02-07,east,1605
lapis morsel,2018-02-07,west,1539
pink morsel,2018-02-08,north,1698
pink morsel,2018-02-08,south,1575
pink morsel,2018-02-08,east,1500
pink morsel,2018-02-08,west,1551
gold morsel,2018-02-08,north,1737
gold morsel,2018-02-08,south,1542
gold morsel,2018-02-08,east,1665
gold morsel,2018-02-08,west,1548
magenta morsel,2018-02-08,north,1635
magenta morsel,2018-02-08,south,1632
magenta morsel,2018-02-08,east,1668
magenta morsel,2018-02-08,west,1764
chartreuse morsel,2018-02-08,north,1533
chartreuse morsel,2018-02-08,south,1563
chartreuse morsel,2018-02-08,east,1641
chartreuse morsel,2018-02-08,west,1773
periwinkle morsel,2018-02-08,north,1629
periwinkle morsel,2018-02-08,south,1698
periwinkle morsel,2018-02-08,east,1725
periwinkle morsel,2018-02-08,west,1722
vermilion morsel,2018-02-08,north,1596
vermilion morsel,2018-02-08,south,1710
vermilion morsel,2018-02-08,east,1635
vermilion morsel,2018-02-08,west,1659
lapis morsel,2018-02-08,north,1686
lapis morsel,2018-02-08,south,1533
lapis morsel,2018-02-08,east,1524
lapis morsel,2018-02-08,west,1530
pink morsel,2018-02-09,north,1665
pink morsel,2018-02-09,south,1695
pink morsel,2018-02-09,east,1578
pink morsel,2018-02-09,west,1620
gold morsel,2018-02-09,north,1767
gold morsel,2018-02-09,south,1593
gold morsel,2018-02-09,east,1743
gold morsel,2018-02-09,west,1557
magenta morsel,2018-02-09,north,1668
magenta morsel,2018-02-09,south,1782
magenta morsel,2018-02-09,east,1527
magenta morsel,2018-02-09,west,1668
chartreuse morsel,2018-02-09,north,1635
chartreuse morsel,2018-02-09,south,1569
chartreuse morsel,2018-02-09,east,1746
chartreuse morsel,2018-02-09,west,1773
periwinkle morsel,2018-02-09,north,1539
periwinkle morsel,2018-02-09,south,1500
periwinkle morsel,2018-02-09,east,1569
periwinkle morsel,2018-02-09,west,1557
vermilion morsel,2018-02-09,north,1773
vermilion morsel,2018-02-09,south,1644
vermilion morsel,2018-02-09,east,1614
vermilion morsel,2018-02-09,west,1674
lapis morsel,2018-02-09,north,1533
lapis morsel,2018-02-09,south,1653
lapis morsel,2018-02-09,east,1557
lapis morsel,2018-02-09,west,1746
pink morsel,2018-02-10,north,1719
pink morsel,2018-02-10,south,1719
pink morsel,2018-02-10,east,1659
pink morsel,2018-02-10,west,1800
gold morsel,2018-02-10,north,1581
gold morsel,2018-02-10,south,1602
gold morsel,2018-02-10,east,1608
gold morsel,2018-02-10,west,1650
magenta morsel,2018-02-10,north,1611
magenta morsel,2018-02-10,south,1530
magenta morsel,2018-02-10,east,1698
magenta morsel,2018-02-10,west,1668
chartreuse morsel,2018-02-10,north,1746
chartreuse morsel,2018-02-10,south,1524
chartreuse morsel,2018-02-10,east,1506
chartreuse morsel,2018-02-10,west,1704
periwinkle morsel,2018-02-10,north,1788
periwinkle morsel,2018-02-10,south,1719
periwinkle morsel,2018-02-10,east,1746
periwinkle morsel,2018-02-10,west,1584
vermilion morsel,2018-02-10,north,1692
vermilion morsel,2018-02-10,south,1635
vermilion morsel,2018-02-10,east,1608
vermilion morsel,2018-02-10,west,1590
lapis morsel,2018-02-10,north,1599
lapis morsel,2018-02-10,south,1518
lapis morsel,2018-02-10,east,1602
lapis morsel,2018-02-10,west,1659
pink morsel,2018-02-11,north,1644
pink morsel,2018-02-11,south,1611
pink morsel,2018-02-11,east,1554
pink morsel,2018-02-11,west,1515
gold morsel,2018-02-11,north,1515
gold morsel,2018-02-11,south,1632
gold morsel,2018-02-11,east,1512
gold morsel,2018-02-11,west,1776
magenta morsel,2018-02-11,north,1677
magenta morsel,2018-02-11,south,1503
magenta morsel,2018-02-11,east,1605
magenta morsel,2018-02-11,west,1647
chartreuse morsel,2018-02-11,north,1506
chartreuse morsel,2018-02-11,south,1737
chartreuse morsel,2018-02-11,east,1590
chartreuse morsel,2018-02-11,west,1767
periwinkle morsel,2018-02-11,north,1593
periwinkle morsel,2018-02-11,south,1614
periwinkle morsel,2018-02-11,east,1710
periwinkle morsel,2018-02-11,west,1662
vermilion morsel,2018-02-11,north,1650
vermilion morsel,2018-02-11,south,1755
vermilion morsel,2018-02-11,east,1698
vermilion morsel,2018-02-11,west,1659
lapis morsel,2018-02-11,north,1683
lapis morsel,2018-02-11,south,1509
lapis morsel,2018-02-11,east,1500
lapis morsel,2018-02-11,west,1545
pink morsel,2018-02-12,north,1647
pink morsel,2018-02-12,south,1614
pink morsel,2018-02-12,east,1629
pink morsel,2018-02-12,west,1677
gold morsel,2018-02-12,north,1743
gold morsel,2018-02-12,south,1569
gold morsel,2018-02-12,east,1593
gold morsel,2018-02-12,west,1578
magenta morsel,2018-02-12,north,1578
magenta morsel,2018-02-12,south,1581
magenta morsel,2018-02-12,east,1653
magenta morsel,2018-02-12,west,1578
chartreuse morsel,2018-02-12,north,1761
chartreuse morsel,2018-02-12,south,1611
chartreuse morsel,2018-02-12,east,1749
chartreuse morsel,2018-02-12,west,1764
periwinkle morsel,2018-02-12,north,1716
periwinkle morsel,2018-02-12,south,1710
periwinkle morsel,2018-02-12,east,1800
periwinkle morsel,2018-02-12,west,1728
vermilion morsel,2018-02-12,north,1743
vermilion morsel,2018-02-12,south,1764
vermilion morsel,2018-02-12,east,1740
vermilion morsel,2018-02-12,west,1707
lapis morsel,2018-02-12,north,1509
lapis morsel,2018-02-12,south,1641
lapis morsel,2018-02-12,east,1533
lapis morsel,2018-02-12,west,1752
pink morsel,2018-02-13,north,1767
pink morsel,2018-02-13,south,1590
pink morsel,2018-02-13,east,1533
pink morsel,2018-02-13,west,1704
gold morsel,2018-02-13,north,1671
gold morsel,2018-02-13,south,1527
gold morsel,2018-02-13,east,1524
gold morsel,2018-02-13,west,1629
magenta morsel,2018-02-13,north,1722
magenta morsel,2018-02-13,south,1557
magenta morsel,2018-02-13,east,1686
magenta morsel,2018-02-13,west,1779
chartreuse morsel,2018-02-13,north,1734
chartreuse morsel,2018-02-13,south,1776
chartreuse morsel,2018-02-13,east,1554
chartreuse morsel,2018-02-13,west,1725
periwinkle morsel,2018-02-13,north,1617
periwinkle morsel,2018-02-13,south,1635
periwinkle morsel,2018-02-13,east,1605
periwinkle morsel,2018-02-13,west,1785
vermilion morsel,2018-02-13,north,1761
vermilion morsel,2018-02-13,south,1530
vermilion morsel,2018-02-13,east,1710
vermilion morsel,2018-02-13,west,1506
lapis morsel,2018-02-13,north,1509
lapis morsel,2018-02-13,south,1797
lapis morsel,2018-02-13,east,1662
lapis morsel,2018-02-13,west,1530
pink morsel,2018-02-14,north,1767
pink morsel,2018-02-14,south,1767
pink morsel,2018-02-14,east,1614
pink morsel,2018-02-14,west,1533
gold morsel,2018-02-14,north,1767
gold morsel,2018-02-14,south,1761
gold morsel,2018-02-14,east,1566
gold morsel,2018-02-14,west,1623
magenta morsel,2018-02-14,north,1506
magenta morsel,2018-02-14,south,1512
magenta morsel,2018-02-14,east,1692
magenta morsel,2018-02-14,west,1749
chartreuse morsel,2018-02-14,north,1701
chartreuse morsel,2018-02-14,south,1752
chartreuse morsel,2018-02-14,east,1632
chartreuse morsel,2018-02-14,west,1515
periwinkle morsel,2018-02-14,north,1725
periwinkle morsel,2018-02-14,south,1611
periwinkle morsel,2018-02-14,east,1788
periwinkle morsel,2018-02-14,west,1617
vermilion morsel,2018-02-14,north,1656
vermilion morsel,2018-02-14,south,1674
vermilion morsel,2018-02-14,east,1557
vermilion morsel,2018-02-14,west,1701
lapis morsel,2018-02-14,north,1686
lapis morsel,2018-02-14,south,1782
lapis morsel,2018-02-14,east,1641
lapis morsel,2018-02-14,west,1557
pink morsel,2018-02-15,north,1686
pink morsel,2018-02-15,south,1527
pink morsel,2018-02-15,east,1698
pink morsel,2018-02-15,west,1728
gold morsel,2018-02-15,north,1671
gold morsel,2018-02-15,south,1527
gold morsel,2018-02-15,east,1581
gold morsel,2018-02-15,west,1764
magenta morsel,2018-02-15,north,1653
magenta morsel,2018-02-15,south,1626
magenta morsel,2018-02-15,east,1782
magenta morsel,2018-02-15,west,1749
chartreuse morsel,2018-02-15,north,1539
chartreuse morsel,2018-02-15,south,1752
chartreuse morsel,2018-02-15,east,1674
chartreuse morsel,2018-02-15,west,1749
periwinkle morsel,2018-02-15,north,1569
periwinkle morsel,2018-02-15,south,1794
periwinkle morsel,2018-02-15,east,1674
periwinkle morsel,2018-02-15,west,1638
vermilion morsel,2018-02-15,north,1515
vermilion morsel,2018-02-15,south,1527
vermilion morsel,2018-02-15,east,1602
vermilion morsel,2018-02-15,west,1653
lapis morsel,2018-02-15,north,1602
lapis morsel,2018-02-15,south,1707
lapis morsel,2018-02-15,east,1548
lapis morsel,2018-02-15,west,1527
pink morsel,2018-02-16,north,1599
pink morsel,2018-02-16,south,1728
pink morsel,2018-02-16,east,1704
pink morsel,2018-02-16,west,1539
gold morsel,2018-02-16,north,1545
gold morsel,2018-02-16,south,1797
gold morsel,2018-02-16,east,1515
gold morsel,2018-02-16,west,1719
magenta morsel,2018-02-16,north,1713
magenta morsel,2018-02-16,south,1674
magenta morsel,2018-02-16,east,1767
magenta morsel,2018-02-16,west,1767
chartreuse morsel,2018-02-16,north,1668
chartreuse morsel,2018-02-16,south,1620
chartreuse morsel,2018-02-16,east,1677
chartreuse morsel,2018-02-16,west,1509
periwinkle morsel,2018-02-16,north,1683
periwinkle morsel,2018-02-16,south,1743
periwinkle morsel,2018-02-16,east,1644
periwinkle morsel,2018-02-16,west,1578
vermilion morsel,2018-02-16,north,1572
vermilion morsel,2018-02-16,south,1545
vermilion morsel,2018-02-16,east,1557
vermilion morsel,2018-02-16,west,1626
lapis morsel,2018-02-16,north,1710
lapis morsel,2018-02-16,south,1659
lapis morsel,2018-02-16,east,1665
lapis morsel,2018-02-16,west,1521
pink morsel,2018-02-17,north,1503
pink morsel,2018-02-17,south,1650
pink morsel,2018-02-17,east,1689
pink morsel,2018-02-17,west,1743
gold morsel,2018-02-17,north,1623
gold morsel,2018-02-17,south,1503
gold morsel,2018-02-17,east,1758
gold morsel,2018-02-17,west,1557
magenta morsel,2018-02-17,north,1713
magenta morsel,2018-02-17,south,1734
magenta morsel,2018-02-17,east,1740
magenta morsel,2018-02-17,west,1563
chartreuse morsel,2018-02-17,north,1716
chartreuse morsel,2018-02-17,south,1791
chartreuse morsel,2018-02-17,east,1674
chartreuse morsel,2018-02-17,west,1716
periwinkle morsel,2018-02-17,north,1632
periwinkle morsel,2018-02-17,south,1641
periwinkle morsel,2018-02-17,east,1584
periwinkle morsel,2018-02-17,west,1590
vermilion morsel,2018-02-17,north,1713
vermilion morsel,2018-02-17,south,1593
vermilion morsel,2018-02-17,east,1740
vermilion morsel,2018-02-17,west,1638
lapis morsel,2018-02-17,north,1653
lapis morsel,2018-02-17,south,1590
lapis morsel,2018-02-17,east,1593
lapis morsel,2018-02-17,west,1602
pink morsel,2018-02-18,north,1785
pink morsel,2018-02-18,south,1764
pink morsel,2018-02-18,east,1506
pink morsel,2018-02-18,west,1536
gold morsel,2018-02-18,north,1623
gold morsel,2018-02-18,south,1674
gold morsel,2018-02-18,east,1791
gold morsel,2018-02-18,west,1653
magenta morsel,2018-02-18,north,1785
magenta morsel,2018-02-18,south,1569
magenta morsel,2018-02-18,east,1500
magenta morsel,2018-02-18,west,1770
chartreuse morsel,2018-02-18,north,1653
chartreuse morsel,2018-02-18,south,1590
chartreuse morsel,2018-02-18,east,1671
chartreuse morsel,2018-02-18,west,1629
periwinkle morsel,2018-02-18,north,1578
periwinkle morsel,2018-02-18,south,1665
periwinkle morsel,2018-02-18,east,1575
periwinkle morsel,2018-02-18,west,1587
vermilion morsel,2018-02-18,north,1674
vermilion morsel,2018-02-18,south,1785
vermilion morsel,2018-02-18,east,1719
vermilion morsel,2018-02-18,west,1617
lapis morsel,2018-02-18,north,1794
lapis morsel,2018-02-18,south,1563
lapis morsel,2018-02-18,east,1728
lapis morsel,2018-02-18,west,1740
pink morsel,2018-02-19,north,1617
pink morsel,2018-02-19,south,1650
pink morsel,2018-02-19,east,1728
pink morsel,2018-02-19,west,1635
gold morsel,2018-02-19,north,1584
gold morsel,2018-02-19,south,1647
gold morsel,2018-02-19,east,1551
gold morsel,2018-02-19,west,1512
magenta morsel,2018-02-19,north,1737
magenta morsel,2018-02-19,south,1551
magenta morsel,2018-02-19,east,1515
magenta morsel,2018-02-19,west,1716
chartreuse morsel,2018-02-19,north,1746
chartreuse morsel,2018-02-19,south,1677
chartreuse morsel,2018-02-19,east,1584
chartreuse morsel,2018-02-19,west,1617
periwinkle morsel,2018-02-19,north,1743
periwinkle morsel,2018-02-19,south,1533
periwinkle morsel,2018-02-19,east,1521
periwinkle morsel,2018-02-19,west,1578
vermilion morsel,2018-02-19,north,1545
vermilion morsel,2018-02-19,south,1713
vermilion morsel,2018-02-19,east,1665
vermilion morsel,2018-02-19,west,1644
lapis morsel,2018-02-19,north,1776
lapis morsel,2018-02-19,south,1560
lapis morsel,2018-02-19,east,1644
lapis morsel,2018-02-19,west,1503
pink morsel,2018-02-20,north,1800
pink morsel,2018-02-20,south,1758
pink morsel,2018-02-20,east,1701
pink morsel,2018-02-20,west,1671
gold morsel,2018-02-20,north,1593
gold morsel,2018-02-20,south,1617
gold morsel,2018-02-20,east,1626
gold morsel,2018-02-20,west,1629
magenta morsel,2018-02-20,north,1728
magenta morsel,2018-02-20,south,1506
magenta morsel,2018-02-20,east,1590
magenta morsel,2018-02-20,west,1626
chartreuse morsel,2018-02-20,north,1782
chartreuse morsel,2018-02-20,south,1572
chartreuse morsel,2018-02-20,east,1539
chartreuse morsel,2018-02-20,west,1509
periwinkle morsel,2018-02-20,north,1788
periwinkle morsel,2018-02-20,south,1713
periwinkle morsel,2018-02-20,east,1626
periwinkle morsel,2018-02-20,west,1629
vermilion morsel,2018-02-20,north,1548
vermilion morsel,2018-02-20,south,1716
vermilion morsel,2018-02-20,east,1752
vermilion morsel,2018-02-20,west,1638
lapis morsel,2018-02-20,north,1575
lapis morsel,2018-02-20,south,1671
lapis morsel,2018-02-20,east,1626
lapis morsel,2018-02-20,west,1572
pink morsel,2018-02-21,north,1572
pink morsel,2018-02-21,south,1569
pink morsel,2018-02-21,east,1581
pink morsel,2018-02-21,west,1521
gold morsel,2018-02-21,north,1641
gold morsel,2018-02-21,south,1692
gold morsel,2018-02-21,east,1713
gold morsel,2018-02-21,west,1563
magenta morsel,2018-02-21,north,1524
magenta morsel,2018-02-21,south,1533
magenta morsel,2018-02-21,east,1695
