Date,Region,Sales
6/02/2018,north,1638
6/02/2018,south,1647
6/02/2018,east,1731
6/02/2018,west,1557
6/02/2018,north,1587
6/02/2018,south,1698
6/02/2018,east,1542
6/02/2018,west,1635
6/02/2018,north,1602
6/02/2018,south,1536
6/02/2018,east,1503
6/02/2018,west,1701
6/02/2018,north,1758
6/02/2018,south,1662
6/02/2018,east,1782
6/02/2018,west,1515
6/02/2018,north,1662
6/02/2018,south,1557
6/02/2018,east,1650
6/02/2018,west,1674
6/02/2018,north,1554
6/02/2018,south,1587
6/02/2018,east,1563
6/02/2018,west,1764
6/02/2018,north,1758
6/02/2018,south,1608
6/02/2018,east,1569
6/02/2018,west,1653
7/02/2018,north,1572
7/02/2018,south,1716
7/02/2018,east,1773
7/02/2018,west,1725
7/02/2018,north,1767
7/02/2018,south,1710
7/02/2018,east,1698
7/02/2018,west,1512
7/02/2018,north,1746
7/02/2018,south,1734
7/02/2018,east,1524
7/02/2018,west,1614
7/02/2018,north,1578
7/02/2018,south,1782
7/02/2018,east,1527
7/02/2018,west,1752
7/02/2018,north,1785
7/02/2018,south,1689
7/02/2018,east,1641
7/02/2018,west,1575
7/02/2018,north,1644
7/02/2018,south,1674
7/02/2018,east,1551
7/02/2018,west,1737
7/02/2018,north,1563
7/02/2018,south,1647
7/02/2018,east,1605
7/02/2018,west,1539
8/02/2018,north,1698
8/02/2018,south,1575
8/02/2018,east,1500
8/02/2018,west,1551
8/02/2018,north,1737
8/02/2018,south,1542
8/02/2018,east,1665
8/02/2018,west,1548
8/02/2018,north,1635
8/02/2018,south,1632
8/02/2018,east,1668
8/02/2018,west,1764
8/02/2018,north,1533
8/02/2018,south,1563
8/02/2018,east,1641
8/02/2018,west,1773
8/02/2018,north,1629
8/02/2018,south,1698
8/02/2018,east,1725
8/02/2018,west,1722
8/02/2018,north,1596
8/02/2018,south,1710
8/02/2018,east,1635
8/02/2018,west,1659
8/02/2018,north,1686
8/02/2018,south,1533
8/02/2018,east,1524
8/02/2018,west,1530
9/02/2018,north,1665
9/02/2018,south,1695
9/02/2018,east,1578
9/02/2018,west,1620
9/02/2018,north,1767
9/02/2018,south,1593
9/02/2018,east,1743
9/02/2018,west,1557
9/02/2018,north,1668
9/02/2018,south,1782
9/02/2018,east,1527
9/02/2018,west,1668
9/02/2018,north,1635
9/02/2018,south,1569
9/02/2018,east,1746
9/02/2018,west,1773
9/02/2018,north,1539
9/02/2018,south,1500
